Source File Path,Code Lines,Comment Lines,Mixed Lines,Blank Lines,Total Lines
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\session\AbstractServiceImpl.class.php,33,44,0,2,79
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\session\JNSessionException.class.php,7,0,0,2,9
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\session\JNSessionImpl.class.php,113,121,0,16,250
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\session\JNSessionWSInterface.interface.php,10,21,0,2,33
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\useredit\JNUserEditImpl.class.php,60,12,0,11,83
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\useredit\JNUserEditScraper.class.php,69,27,0,5,101
C:\ppm8-dev\app\classes\infinitymetrics\util\screenscraperapi\useredit\JNUserEditWSInterface.interface.php,8,19,0,1,28
C:\ppm8-dev\app\classes\infinitymetrics\util\SendEmail.class.php,25,21,0,4,50
C:\ppm8-dev\app\help\index.php,108,0,0,22,130
C:\ppm8-dev\app\index.php,94,0,0,18,112
C:\ppm8-dev\app\report\projectReport.php,152,2,1,28,183
C:\ppm8-dev\app\report\userReport.php,107,2,1,21,131
C:\ppm8-dev\app\template\footer.php,10,0,0,1,11
C:\ppm8-dev\app\template\header-left-nav.php,44,0,0,4,48
C:\ppm8-dev\app\template\header-no-left-nav.php,44,0,0,4,48
C:\ppm8-dev\app\template\header-title.php,1,0,0,0,1
C:\ppm8-dev\app\template\infinitymetrics-bootstrap.php,43,7,1,9,60
C:\ppm8-dev\app\template\static-js-css.php,18,2,2,1,23
C:\ppm8-dev\app\template\top-navigation.php,30,0,0,2,32
C:\ppm8-dev\app\template\top-navigation-menu.php,42,0,0,2,44
C:\ppm8-dev\app\template\user-signup-header-adds.php,1,0,0,0,1
C:\ppm8-dev\app\template\with-leftnav.php,142,0,0,4,146
C:\ppm8-dev\app\template\without-leftnav.php,161,0,0,19,180
C:\ppm8-dev\app\user\index.php,68,0,0,20,88
C:\ppm8-dev\app\user\instructor\index.php,3,0,0,0,3
C:\ppm8-dev\app\user\instructor\signup-step1.php,127,0,0,31,158
C:\ppm8-dev\app\user\instructor\signup-step2.php,194,0,0,32,226
C:\ppm8-dev\app\user\instructor\signup-step2a.php,1180,5,0,277,1462
C:\ppm8-dev\app\user\instructor\signup-step3.php,161,0,0,28,189
C:\ppm8-dev\app\user\javaNetUser\index.php,3,0,0,0,3
C:\ppm8-dev\app\user\javaNetUser\signup-step1.php,128,0,0,29,157
C:\ppm8-dev\app\user\javaNetUser\signup-step2.php,172,0,0,31,203
